id,name,domain,vertical_broad,industry,bucket,reason
463b8d6d-4561-421e-b80c-f114423dad79,Agencia IP soluciones Recursos Humanos,,RRHH/Talento,Human Resources Services,review,No strong subsegment signal
19be8eee-30d0-438e-b5d1-3f268cf78f29,Transportes MAEDA,maeda.mx,Logística y Transporte,truck transportation,transport_terrestre,Ground transport / trucking / delivery
f246582d-8410-47d9-a23e-93a8f8e22cea,Santafeconsultores,santafeconsultores.com,Otros,,review,No strong subsegment signal
88c1183c-8e15-4c5b-a5e5-ce7856ea9364,Moliendas TIzayuca S.A. de C.V.,moliendastizayuca.com.mx,Alimentos y Bebidas,,review,No strong subsegment signal
56f0bdae-2c1c-41b1-befb-6cde8233e82b,AGENCIA VICWORKS,,RRHH/Talento,Human Resources Services,review,No strong subsegment signal
798eecd8-d1c7-49c1-bf47-fa7ee58463aa,SEAlef,sealef.com,Sin clasificar,Human Resources Services,review,No strong subsegment signal
2e87bff9-0f3a-488e-9d8f-18ab0090ce70,Agencia de Reclutamiento y Selección de Personal,,RRHH/Talento,Human Resources Services,review,No strong subsegment signal
cc87da7e-b579-4894-805b-fcc7354fd69a,Brudergreen,brudergreen.com,Energía,,review,No strong subsegment signal
bdab7355-aa15-4b0e-97b7-6ffe142f402a,AKTION Consulting,,Servicios profesionales,Professional Training and Coaching,review,No strong subsegment signal
fc96d7da-c9ec-4bee-9b17-7038c6c1a09a,ALCA Executive a GAPE Business Group Company,,RRHH/Talento,Human Resources Services,review,No strong subsegment signal
f0738fb6-b8cf-41f8-ac2b-f4f43de3f7df,ELTEC,eltec.mx,Manufactura/Industrial,"appliances, electrical, and electronics manufacturing",transport_terrestre,Ground transport / trucking / delivery
48fd708c-d5de-4c79-a267-186de4aebba0,ALCE ASESORES SEGUROS,,Finanzas/Seguros,Insurance Carriers,transport_terrestre,Ground transport / trucking / delivery
9456ab6c-0057-4297-9a44-c7690e8c927e,JUAMA,juama.com,Salud y Farma,medical equipment manufacturing,review,No strong subsegment signal
5c37443f-364e-42a1-a75e-f4241d2ea710,ALCI Consultores,,RRHH/Talento,Human Resources Services,review,No strong subsegment signal
c64bbcc6-0aa1-4a21-b74d-001e1aefc110,ACEPTE,acepte.com,Servicios profesionales,Business Consulting and Services,review,No strong subsegment signal
73773c80-4eeb-48f7-a8f9-0d784a092f04,ALEDI HUNTER,,RRHH/Talento,Human Resources Services,review,No strong subsegment signal
352703ef-6da4-4721-bcf1-895766d09560,Holos Industrial,holosindustrial.com.mx,Manufactura/Industrial,industrial machinery manufacturing,review,No strong subsegment signal
bc3fcd8c-1b9d-419d-b8fe-e16a29b35d39,Acelera Consultores,aceleramx.com,Sin clasificar,Business Consulting and Services,review,No strong subsegment signal
b2152120-8858-4853-a704-5172b6ed4af2,Alejandra Corral | Reclutamiento para Estudios de Mercado e Insights de Consumidores,,Otros,Market Research,review,No strong subsegment signal
2ad03994-59aa-42b8-9583-70c0470fdee1,Alere Recursos Humanos,,RRHH/Talento,Human Resources Services,review,No strong subsegment signal
f768718f-32b9-462d-8c06-4f918ff37b4f,RECLUTAMIENTO Y SELECCION DE PERSONAL,,RRHH/Talento,Human Resources Services,review,No strong subsegment signal
b523ac32-4677-45cc-954e-5cb396ef2203,Tavi Logistics LLC,tavilogistics.com,Logística y Transporte,truck transportation,transport_terrestre,Ground transport / trucking / delivery
79a47752-3f15-435a-881d-6f8c190c3e20,La Superior Panadería y Repostería,lasuperior.com.mx,Alimentos y Bebidas,food and beverage manufacturing,review,No strong subsegment signal
5c87a65a-1130-484b-9d2d-6ad2486f79e6,AlGuerra Headhunters,,RRHH/Talento,Human Resources Services,review,No strong subsegment signal
ba3ce562-9f58-4dba-b9e7-492767ee72ca,Aliance,,RRHH/Talento,Human Resources Services,review,No strong subsegment signal
b4ac2ea6-f0d6-42e0-b202-b006a54fb7b4,FPV Racing Mexico,fpvracing.mx,Sin clasificar,Events Services,review,No strong subsegment signal
50f32570-3d96-4fd4-b209-bf26f65d8025,Ally in Bussiness,,RRHH/Talento,Human Resources Services,review,No strong subsegment signal
ec49dda5-0c48-49ca-80d9-194dabeb16eb,Alt Talento Humano,,RRHH/Talento,Human Resources Services,review,No strong subsegment signal
b43e8d69-8d54-435b-a0c6-e1c1c4c452b8,Utilirail,utilirail.com,Logística y Transporte,,review,No strong subsegment signal
931a9417-0a96-48b4-aa0f-48599887f14e,AM&AR Asociados,,Finanzas/Seguros,Insurance,review,No strong subsegment signal
5a870b37-0974-4c14-94ab-7cadea77ad6a,Zehr,zehr.com.mx,RRHH/Talento,,review,No strong subsegment signal
4a3817e9-1713-412b-9685-d862b451685c,"Comercializadora Internacional xl1, S.de R.L. de C.V.",xl1.com.mx,Salud y Farma,medical equipment manufacturing,review,No strong subsegment signal
b4ea7f01-d509-44f2-aea3-19f0174d9826,Udelá Global,udelaglobal.com,Sin clasificar,pharmaceutical manufacturing,review,No strong subsegment signal
bb054340-fe63-4cf0-a59e-d63a0351ca21,American Standard Staffing,,RRHH/Talento,Staffing and Recruiting,review,No strong subsegment signal
042c999a-e052-4d94-a48d-d837fbf69cd4,AMEX Capital Humano,,RRHH/Talento,Human Resources Services,review,No strong subsegment signal
5f6c404e-97aa-4d5d-9218-16bfa4580ee1,AMG Talent,,RRHH/Talento,Human Resources Services,review,No strong subsegment signal
45db9a8c-df45-4c29-a6d0-7512c61bdcd4,SICA MEDICIÓN,sicamedicion.com.mx,Química,automation machinery manufacturing,review,No strong subsegment signal
dc11f2df-cee4-41fc-8b59-ed4c25532a72,"AddIT, Administration and Development on Information Technologies",addit.com.mx,Software/TI,"Technology, Information and Internet",review,No strong subsegment signal
9a6b17b9-092c-4495-8111-66ebcab02c9b,Antu Devops SA de CV,,Software/TI,IT Services and IT Consulting,review,No strong subsegment signal
5c942256-b090-460e-8283-65409e89f890,AP TALENTO HUMANO SAS,,RRHH/Talento,Human Resources Services,review,No strong subsegment signal
4b994ae0-229b-4913-9999-445df757cccc,Apotegma.abg,,Retail/Consumo,Retail Art Dealers,review,No strong subsegment signal
f70df3a6-b6e9-433d-9576-3b90b3f39c22,Arca Metas,,Servicios profesionales,Business Consulting and Services,review,No strong subsegment signal
3d5925f5-5ae2-4d0e-8fcf-462799fb10b7,Orbi,orbi.finance,Finanzas/Seguros,financial services,review,No strong subsegment signal
3636a352-fee3-43f1-9a70-667575d8bbe0,Argento Development Mexico,,RRHH/Talento,Staffing and Recruiting,review,No strong subsegment signal
47364ea9-6ae7-4fe7-b690-bc424c1c74a2,CIETSA Instrumentación,cietsa.com.mx,Manufactura/Industrial,automation machinery manufacturing,review,No strong subsegment signal
f1fdc45f-1cd0-4449-95e6-a87cf06667ae,Vive Energía,viveenergia.com,Energía,renewable energy semiconductor manufacturing,review,No strong subsegment signal
6f76a099-51ca-4b63-a14d-d79b094f3077,ARIA Seguros,,Finanzas/Seguros,Insurance,review,No strong subsegment signal
f8553972-4299-4cc0-ace0-9e06f1925503,Aroche & Cannon Consultores,,Otros,Law Practice,review,No strong subsegment signal
5373da6c-b824-4c6a-9a9a-07e07fedaf6d,LOGMA,logma.mx,Manufactura/Industrial,airlines and aviation,review,No strong subsegment signal
4179d56a-a85d-4631-9957-54ba113fc0be,ARQA,,Servicios profesionales,Business Consulting and Services,review,No strong subsegment signal
1fdf45c2-4cb4-4ae6-8adc-bef75f4aa725,ARRENQUIN Laboratorios Clínicos,,Salud y Farma,Medical Practices,review,No strong subsegment signal
b47e6d01-a8f2-431b-929f-398acdf977d6,Grupo Comsa,grupocomsa.com,Química,chemical manufacturing,review,No strong subsegment signal
f87bac6f-5d3a-4259-b32b-e358636f1713,ADN Kapital Humano,adnkapitalhumano.com,RRHH/Talento,Human Resources Services,review,No strong subsegment signal
91a3d5c2-a935-476a-afb2-49d4aaed355e,ArrowHead Executive Search,,RRHH/Talento,Staffing and Recruiting,review,No strong subsegment signal
f907709b-9e8c-482c-b8f6-b74f9fcaada0,Codersnow,codersnow.ca,Software/TI,,review,No strong subsegment signal
c57bf3c1-fbd1-4401-a8b4-6ad7285d9ec9,AI/IT,,Otros,Language Schools,review,No strong subsegment signal
cecf9a67-7a4d-4ebd-bb8b-8f42fe38ad1a,AE Corporativa,aecorporativa.com,Otros,Human Resources Services,review,No strong subsegment signal
d27786f0-784e-4530-bd2c-6312353aa30c,Marsam,marsamsolar.com,Energía,,review,No strong subsegment signal
5cd9ec42-f1d2-4b79-916c-1b4f98caa275,AULEX TECHNOLOGY,aulex-technology.com,Sin clasificar,automation machinery manufacturing,review,No strong subsegment signal
833aa034-f275-4d58-95b8-39aa2e126911,As Advisor,,Servicios profesionales,Operations Consulting,review,No strong subsegment signal
3bfc0ceb-0317-462a-a421-c806bcc4d5c4,HR Operations,hroperations.com.mx,RRHH/Talento,Human Resources Services,review,No strong subsegment signal
cdda477f-7fe9-4f7f-94d8-1ee9e45f599d,Aetherium Tech & Commerce,aetheriumtc.io,Servicios profesionales,Business Consulting and Services,review,No strong subsegment signal
178080cd-5c59-4a2f-bdd2-82d7d2f2d411,Beethon,,RRHH/Talento,Human Resources Services,review,No strong subsegment signal
fe9fae6a-babb-49bb-93aa-7d51007e1775,Asesores de Vida El Roble,,Finanzas/Seguros,Financial Services,review,No strong subsegment signal
de0e69fb-fb5d-4f27-8bed-ef479d38e0cf,ASIC: Asesoría Integral Corporativa,,Servicios profesionales,Business Consulting and Services,review,No strong subsegment signal
28b1005a-a09d-4814-abd0-d3fb65f6ea97,Asociados Guido,,RRHH/Talento,Human Resources,review,No strong subsegment signal
fe3566a9-da1d-4947-bdc9-50bb182eea78,AsTalento,,RRHH/Talento,Human Resources Services,review,No strong subsegment signal
a0821a6d-ec4c-427b-8baf-3fdcc4742309,Agentia Corporativa,agentia.com.mx,RRHH/Talento,Human Resources Services,review,No strong subsegment signal
f28130cb-7548-4f7f-b695-c6218d418314,Chat Go,chat-go.ai,Alimentos y Bebidas,software development,review,No strong subsegment signal
79c3e50b-b0eb-43a9-9a3f-a8edc00087b0,Alsa Ingredientes,alsaingredientes.com.mx,Alimentos y Bebidas,food and beverage manufacturing,review,No strong subsegment signal
b4de70ef-122a-408c-8945-2c13c5527c5e,Improve Latinoamerica,improvelatinoamerica.com,Manufactura/Industrial,it services and it consulting,review,No strong subsegment signal
6faed579-e4a5-4e3f-bcc2-fb4ef88349e3,ASYDIA EM+,,Servicios profesionales,Business Consulting and Services,review,No strong subsegment signal
e3b3987f-9be1-48f8-a7db-0784cd06f8a9,AHQ Servicios de Personal,ahq.com.mx,RRHH/Talento,Human Resources Services,review,No strong subsegment signal
86d32bd1-a424-4be3-8198-ff518eb0ab0a,Atracción de Talento México 14,,RRHH/Talento,Human Resources Services,review,No strong subsegment signal
3c76d08d-292b-45b6-b048-92965f07d9ab,Arancione,arancione.com.mx,Retail/Consumo,,review,No strong subsegment signal
2835bdfb-4250-4c68-b42f-cc0112b81085,Atraccion De Talento. Lat,,RRHH/Talento,Human Resources Services,review,No strong subsegment signal
a208b420-9940-4f5c-882b-76a123ca1e8b,AVANCE. Alto Valor en Capital Humano Especializado,,RRHH/Talento,Human Resources Services,review,No strong subsegment signal
1c7a93a5-9d47-405d-9204-f5b6e25a9743,Bootcamp Jobs,,RRHH/Talento,Human Resources,review,No strong subsegment signal
637649dd-04b0-41e3-a007-c3df6a1c6c01,AVC PEOPLE & STRATEGY,,Servicios profesionales,Business Consulting and Services,review,No strong subsegment signal
7c72608a-f88b-4c33-abf4-0af80e78e704,AVC reclutamiento,,RRHH/Talento,Human Resources Services,review,No strong subsegment signal
6c7c54bd-67d7-4445-8294-5d684f47aa59,AZ Talent Solutions,,RRHH/Talento,Human Resources Services,review,No strong subsegment signal
944c5420-0819-47ff-a863-7a674f508a31,Aztlan Electronica Group SC,,Sin clasificar,,review,No strong subsegment signal
634fcd2f-dd98-4f18-a448-7f9db7ee445e,AIT Vanguardia Tecnológica,ait.mx,Software/TI,IT Services and IT Consulting,review,No strong subsegment signal
e70cb695-f60f-4745-a9bb-72db4febc49d,AJC RRHH & Operative Solutions,ajc.com.mx,Servicios profesionales,Human Resources Services,review,No strong subsegment signal
1fdf2edd-15dc-44a0-9043-1424d5695674,BALANCE CONSULTANCY Human Resources,,RRHH/Talento,Human Resources Services,review,No strong subsegment signal
66251322-a688-485b-8085-43bd50911282,BAN | Soluciones Organizacionales - Reclutamiento Especializado y NOM-035,,RRHH/Talento,Human Resources Services,review,No strong subsegment signal
f0aceee5-a32a-48b3-bd17-57250c4a3962,Baxal Executive Search,,Servicios profesionales,Business Consulting and Services,review,No strong subsegment signal
3c6bde5a-2abf-4dc2-a060-ff6cfcde3deb,Electronica Infinita,electronicainfinita.com,Manufactura/Industrial,industrial machinery manufacturing,review,No strong subsegment signal
df5402a6-0e3c-44a6-83c4-2357071e5d69,Alessa Capital Humano,alessacapitalhumano.com,RRHH/Talento,Human Resources Services,review,No strong subsegment signal
f21fa65c-fdb5-4a89-a0e4-0f193c6c1d6d,Cantabria Labs México,cantabrialabs.com,Salud y Farma,pharmaceutical manufacturing,review,No strong subsegment signal
22ed8270-c0f3-4520-b60c-f9e7605a24ad,Alfil HeadHunting & Solutions,alfilhhs.com,Sin clasificar,Human Resources Services,review,No strong subsegment signal
794a59a3-4313-4802-8bb7-adc5b584a1f3,i-Gefrieren,gefrieren-gas.com,Manufactura/Industrial,chemical manufacturing,review,No strong subsegment signal
eeb8ea56-8f6d-436c-99f6-f674ee491159,BG Consultoría Integral,,Servicios profesionales,Business Consulting and Services,review,No strong subsegment signal
08f1b856-3223-461e-8e14-914f8d9d4c74,BIMMEX,,Construcción/Inmobiliario,Construction,review,No strong subsegment signal
48e939da-87e9-48f2-8760-9677a2287502,MD Capital Humano,,Servicios profesionales,Business Consulting and Services,review,No strong subsegment signal
b4df697f-20cd-4d35-88a2-3c43c9bc954d,Horeb,horebenergy.com,Energía,,transport_terrestre,Ground transport / trucking / delivery
29a87639-3037-4ebf-b2e4-246ec1b442b6,Alkadi Solutions,alkadisolutions.com,Sin clasificar,Business Consulting and Services,review,No strong subsegment signal
a6c21d57-870b-474d-ad7d-2c150cd474f4,Mexipc,mexipc.com,Manufactura/Industrial,,review,No strong subsegment signal
2d6d9496-707a-475f-bd04-dc05030116c7,ALOR a GAPE Business Group Company,alor.mx,RRHH/Talento,Staffing and Recruiting,review,No strong subsegment signal
b5a38d69-8aab-459d-8b8b-4df93f4da180,DYM Stamping Solutions,dymstampingsolutions.com,Manufactura/Industrial,"appliances, electrical, and electronics manufacturing",review,No strong subsegment signal
6530e078-1774-4fa0-a402-c89f8b1e309e,iDRALL,idrall.com,Otros,software development,review,No strong subsegment signal
5c6afdb9-a5c4-4dd1-b04f-a03dedd26e76,Blackwood Recruiting,,RRHH/Talento,Staffing and Recruiting,review,No strong subsegment signal
34aaf34f-4a5e-45c4-aa4c-e7640df34a43,Blue Panorama,,Retail/Consumo,Retail,review,No strong subsegment signal
ec3c2b52-abc2-415c-b85f-c4c7d27bd03d,bminted,,Otros,"Technology, Information and Internet",review,No strong subsegment signal
c035b943-3078-4b02-a32e-d4852d97027d,BOLSA DE TRABAJO QUINTANA ROO,,RRHH/Talento,Human Resources Services,review,No strong subsegment signal
791aa43c-b5d9-48f6-9bb4-ff3a87e8f2b5,Joint Especialistas en Personal,joint.com.mx,RRHH/Talento,Human Resources,review,No strong subsegment signal
8b2e8f79-25db-4943-859f-ccbee7562eb2,Stuffactory,stuffactory.mx,Manufactura/Industrial,computers and electronics manufacturing,review,No strong subsegment signal
d76c2689-9d2b-4e64-9646-ceff0c07c101,ALT Ventures,alt-ventures.com,Otros,Venture Capital and Private Equity Principals,review,No strong subsegment signal
41ebacf6-06e2-488c-9254-4bf658df5e1e,BP Attraction,,RRHH/Talento,Staffing and Recruiting,review,No strong subsegment signal
426dc1f7-21dc-4c2d-b250-a50c57911573,"Bureau of Engineering, Science & Technology",,Servicios profesionales,Business Consulting and Services,review,No strong subsegment signal
1027416c-1776-4991-84f3-f7bb0d73b669,OrbiSolar,orbisolar.com.mx,Energía,,review,No strong subsegment signal
8266d264-6eaf-44bf-8eff-25a2c3223ab9,Business General Consulting,,Servicios profesionales,Business Consulting and Services,review,No strong subsegment signal
a218dd8d-1ebd-486e-b769-5ce3efe9ceb9,ALTUMWARE,altumware.com,Otros,IT Services and IT Consulting,review,No strong subsegment signal
3c52aa3c-ac86-45cc-b53d-a755ef6e926f,Eurochem International Corporation México,eurochem.com,Alimentos y Bebidas,chemical manufacturing,review,No strong subsegment signal
545c7cae-6190-4126-9b36-b5a489d274dc,Business Goal,,Servicios profesionales,Business Consulting and Services,review,No strong subsegment signal
b6f3f2c0-7b6f-4d10-8cba-c6973beda767,BUZZ,,RRHH/Talento,Human Resources Services,review,No strong subsegment signal
37a4c069-20fc-4652-80df-d398c4a6b062,C & P Talento Humano,,RRHH/Talento,Human Resources,review,No strong subsegment signal
b5646eb8-e6e0-4446-958d-2286f9aa8ab3,EVEREST GRUAS,everestrentas.com,Manufactura/Industrial,machinery manufacturing,review,No strong subsegment signal
3caa0c8a-9912-4957-9048-d8dcae294ae6,"Reclutamiento Secrets Aura , Sunscape Sabor y Dreams Cozumel Cape",amresorts-jobs.com,Retail/Consumo,Hospitality,review,No strong subsegment signal
1dc5132c-5134-47db-be5a-2555797bd4b4,AMK Community,amk-community.com,Sin clasificar,IT Services and IT Consulting,review,No strong subsegment signal
836be2c7-11ff-45be-9754-c00b0371a5d9,C2 Capital Humano & Coaching,,RRHH/Talento,Human Resources,review,No strong subsegment signal
482b9eb9-c373-45d6-a88d-0b21e3001ee1,CE-O,,RRHH/Talento,Human Resources,review,No strong subsegment signal
94da7d63-ab91-4aeb-81c9-440feb0d0a31,C.A.C System,,RRHH/Talento,Human Resources Services,review,No strong subsegment signal
3def6b27-580f-4470-8353-256a9bd00b30,Essencefleur de México S.A. de C.V.,essencefleur.com,Química,chemical manufacturing,review,No strong subsegment signal
3d4d14e5-cb7a-4b33-aedb-0dae7a5eb76b,Transform Arte,transform-arte.life,Servicios profesionales,,review,No strong subsegment signal
8a8ebc13-f63b-4318-ae88-2ced1894dd84,CADH Consultores y Asesores en Desarrollo Humano,,RRHH/Talento,Human Resources Services,review,No strong subsegment signal
af408a21-fed2-4f8b-a0de-6811343364fb,Caleido Hub,,Otros,Events Services,review,No strong subsegment signal
e9ed41a4-86e6-4c28-baff-3457181473fe,Calidad y Recurso Humano,,RRHH/Talento,Human Resources,review,No strong subsegment signal
89253bd8-fbc6-42fc-b2db-2e85332d55b8,"Productora Internacional de Bebidas, S.A. de C.V.",grupocimarron.com.mx,Alimentos y Bebidas,food and beverage manufacturing,review,No strong subsegment signal
64dbd2d5-6eb9-4bb4-851e-c65265828562,Campopiano Consulting,,Servicios profesionales,Business Consulting and Services,review,No strong subsegment signal
f26a72bc-e4bb-433f-868e-91a2ff1e03ad,SOLTEK,soltek.com.mx,Logística y Transporte,motor vehicle manufacturing,transport_terrestre,Ground transport / trucking / delivery
b28e6c42-8ed8-42a1-aafc-b8721bd4cee5,CAMR Solutions,,RRHH/Talento,Human Resources Services,review,No strong subsegment signal
b536226e-58f0-4470-82a2-475dbfd35212,Asegura,asegura.biz,Finanzas/Seguros,Public Relations and Communications Services,review,No strong subsegment signal
dcbbe87b-c87c-4dc6-95fc-858eb3cff607,CAMUS Estudios socioeconómicos,,Otros,Research Services,review,No strong subsegment signal
4964ee46-4637-4170-9d87-ffbd43bbf0da,Cantú Ford & Company,,Servicios profesionales,Business Consulting and Services,review,No strong subsegment signal
3cf8fb80-d24e-492e-a384-23a22b3b6bd9,Genetika Co.,genetika.com,Salud y Farma,wellness and fitness services,review,No strong subsegment signal
0846123b-ed55-47f8-bdd3-4e93a8d19ca2,Truck-lite,mx.truck-lite.com,Automotriz,,transport_terrestre,Ground transport / trucking / delivery
be92e62c-7f99-41a3-8985-77f2264330fe,APTIA Bienestar Financiero,aptia.com.mx,Finanzas/Seguros,Insurance,review,No strong subsegment signal
3ed5e0c7-abd8-46f4-9f02-81335d84712e,CAPCO-Centro de Atención Psicológica y Consultoría Organizacional,,Servicios profesionales,Business Consulting and Services,review,No strong subsegment signal
9da9ff4b-32fb-4cb2-b39c-e1d2db5eb5c5,Capital Humano SCHM,,RRHH/Talento,Human Resources Services,review,No strong subsegment signal
0e7ac34d-c056-42ab-9a76-1375e551149c,CAPRE Consultoría formación y captación de talento,,RRHH/Talento,Human Resources Services,review,No strong subsegment signal
76f8127e-70a4-4fcb-9385-8c12d4fc7b50,CareerSeed,,RRHH/Talento,Human Resources Services,review,No strong subsegment signal
88da0370-833f-48b0-8444-c794cadcf2c8,CATCH Business Consulting,,RRHH/Talento,Human Resources,review,No strong subsegment signal
3d02aec0-770f-483e-985f-66a0ab0fe051,Dasza 3PL Logistics and Warehousing Company,dasza.com,Manufactura/Industrial,truck transportation,3pl_warehousing,3PL/warehouse with transport signal
98aa3154-024e-4b3d-95f1-c58134c033d2,CCAPEI CONSULTORES,,Software/TI,IT Services and IT Consulting,review,No strong subsegment signal
b90915f1-a8dd-49d1-aaa0-af5fdc788f85,CECYD CONSULTORES,,Servicios profesionales,Business Consulting and Services,review,No strong subsegment signal
f355e991-f6ce-4ac6-a933-37df2332484f,DRAGÓN BARBUDO,dragonbarbudo.com,Telecom/Medios,Strategic Management Services,review,No strong subsegment signal
c3d47d39-9868-4901-8555-601bfa57a002,Kolka MX,kolka.com.mx,Retail/Consumo,Staffing and Recruiting,review,No strong subsegment signal
4c046743-4ddb-4acd-a4b2-bf00a76fa86b,Workfinder,workfinder.com.mx,Sin clasificar,Human Resources Services,review,No strong subsegment signal
ad6de83f-9382-42e5-bfed-881fcd53ec69,CEFAT Mx.,,Retail/Consumo,Consumer Services,review,No strong subsegment signal
562b614a-dc27-4d69-bd65-4b85a5704045,CEMORE TalentedHR,,RRHH/Talento,Staffing and Recruiting,review,No strong subsegment signal
e8a0ba1b-d26c-4596-8416-afaf6cb92f7b,GRUPO ADE1000,ade1000.com,Construcción/Inmobiliario,chemical manufacturing,review,No strong subsegment signal
f241734c-5c74-46a3-a651-6213376d6da3,Next Level,bethenextlevel.com,Sin clasificar,Human Resources,review,No strong subsegment signal
74534bdc-9960-4a3e-85c6-38c6f14b4bc4,Talento RR,,RRHH/Talento,Human Resources Services,review,No strong subsegment signal
d60ae38a-0da3-48d7-b639-160e3188849b,CF CAPTACIÓN DE TALENTO Y CAPACITACIÓN CYF,,RRHH/Talento,Human Resources,review,No strong subsegment signal
c3a436b2-9ba5-4718-b11d-93855048111f,Arrendamx,arrendamx.com,Sin clasificar,"Transportation, Logistics, Supply Chain and Storage",3pl_warehousing,3PL/warehouse with transport signal
76f1e43f-6e15-4358-a15f-e1bb611e4669,CIR Consultoria Integral en Remuneraciones,,RRHH/Talento,Human Resources,review,No strong subsegment signal
5fc48ad9-f36c-491e-b5f4-0b6204b00948,Cirque Du Soleil JOYA,,Telecom/Medios,Entertainment Providers,review,No strong subsegment signal
2215ea1d-9125-4193-8d17-89f9e77d8111,Clarity RH Solutions RP,,RRHH/Talento,Human Resources Services,review,No strong subsegment signal
7970b17b-9cec-4430-9ac9-40fcb25c5e07,Pipelines,pipelines.mx,Manufactura/Industrial,Business Consulting and Services,review,No strong subsegment signal
f313813d-c61b-4123-b245-5049abd6e163,Gases y Soldaduras Bringas SA de CV,bringasol.com,Química,machinery manufacturing,review,No strong subsegment signal
f30daa2b-7fe5-4197-957e-676ee9ba6028,Ventesmexico,ventesmexico.com,RRHH/Talento,,review,No strong subsegment signal
f6206452-a6a3-4925-b5f4-c1f5b6c87347,Cleris Asesores,,Finanzas/Seguros,Insurance,review,No strong subsegment signal
c5b0b026-5c11-472c-a7f3-7e526c519a13,Click2Talent,,Servicios profesionales,Business Consulting and Services,review,No strong subsegment signal
59cc97f3-b9f7-4ffe-ad2b-cc385f35d1f9,CM ATRACCIÓN DE TALENTO,,RRHH/Talento,Human Resources Services,review,No strong subsegment signal
fc645d1e-ab6a-438c-b194-6d4add84c3c8,Hetero,heterodrugs.com,Salud y Farma,,review,No strong subsegment signal
7a0a22e1-a430-4ad6-9b98-419296978812,Mail Boxes Etc. Latinoamerica,mbelatam.com,Logística y Transporte,freight and package transportation,transport_terrestre,Ground transport / trucking / delivery
51fe459a-c33a-428e-aa94-707655db07eb,CMH Food Safety and Quality Assurance Consultant,,Servicios profesionales,Business Consulting and Services,review,No strong subsegment signal
b5444494-965c-4b2d-ab65-38f66fe68d88,ENTERH HR CONSULTING,enterhconsulting.com,Sin clasificar,Human Resources,review,No strong subsegment signal
1b2b10f2-3303-4445-add3-7399ddb72677,Betania Scarponetti | Búsqueda de empleo & Vacantes Exclusivas,,RRHH/Talento,Human Resources,review,No strong subsegment signal
753ffe3b-5b01-4916-96d5-8a3bb30431df,Coaching 2100,,Servicios profesionales,Business Consulting and Services,review,No strong subsegment signal
